Category,Difficulty,Level,Constraint,'True,'False,Total,Success Percentage
Hard Constraint,medium,3,Budget,3,1,5,0.6
Hard Constraint,medium,5,Cuisine,1,0,2,0.5
Hard Constraint,medium,5,Room Rule,0,1,1,0.0
Hard Constraint,medium,5,Transportation,0,0,0,0
Hard Constraint,medium,5,Room Type,1,0,2,0.5
Hard Constraint,medium,5,Budget,3,0,5,0.6
Hard Constraint,medium,7,Cuisine,2,0,2,1.0
Hard Constraint,medium,7,Room Rule,1,0,1,1.0
Hard Constraint,medium,7,Transportation,0,0,0,0
Hard Constraint,medium,7,Room Type,0,1,2,0.0
Hard Constraint,medium,7,Budget,2,2,5,0.4
Hard Constraint,hard,3,Cuisine,0,2,3,0.0
Hard Constraint,hard,3,Room Rule,2,1,4,0.5
Hard Constraint,hard,3,Transportation,3,0,4,0.75
Hard Constraint,hard,3,Room Type,3,1,4,0.75
Hard Constraint,hard,3,Budget,2,2,5,0.4
Hard Constraint,hard,5,Cuisine,0,3,3,0.0
Hard Constraint,hard,5,Room Rule,2,2,4,0.5
Hard Constraint,hard,5,Transportation,4,0,4,1.0
Hard Constraint,hard,5,Room Type,3,1,4,0.75
Hard Constraint,hard,5,Budget,0,5,5,0.0
Hard Constraint,hard,7,Cuisine,2,0,4,0.5
Hard Constraint,hard,7,Room Rule,2,0,3,0.6666666666666666
Hard Constraint,hard,7,Transportation,1,0,4,0.25
Hard Constraint,hard,7,Room Type,1,0,4,0.25
Hard Constraint,hard,7,Budget,1,1,5,0.2
